ID,Telegram ID,Username,First Name,Skill Self,Skill Captain,TS Mu,TS Sigma,Is Admin,Created At
40,-1754484174788,Balancing_person,Банановая персона,4,0,12.5000000125,8.24967,false,2025-08-06T12:42:54.786Z
39,-1754484174783,romanovichhhh,Анатолий,3,0,12.5000000125,8.24967,false,2025-08-06T12:42:54.783Z
38,-1754484174778,Shikl009,Аркадий,4,0,37.4999999875,8.24967,false,2025-08-06T12:42:54.778Z
37,-1754484174764,konstantinemelin,Константин Емелин,3,0,12.5000000125,8.24967,false,2025-08-06T12:42:54.767Z
35,-1754483625627,naum_menko,Голден Сабститьют,3,0,40.27668280322569,8.24967,false,2025-08-06T12:33:45.627Z
34,-1754483625600,Palachroca,Вано,3,0,9.723317196774312,8.24967,false,2025-08-06T12:33:45.602Z
33,-1754483625573,eltigroo,Эль Тигро,3,0,40.27668280322569,8.24967,false,2025-08-06T12:33:45.576Z
32,-1754483258989,Pavelfacecontrol,Роналду,3,0,37.4999999875,8.24967,false,2025-08-06T12:27:38.977Z
31,-1754483258974,a_frol17,Артем Фрол,4,0,52.77668279072569,8.1671733,false,2025-08-06T12:27:38.962Z
30,-1754483258967,kalinin_20,Алексей Калинин,4,0,27.77668281572569,8.1671733,false,2025-08-06T12:27:38.956Z
29,-1754483258959,Kirill_Korolew,Кирилл Королев,3,0,22.22331718427431,8.1671733,false,2025-08-06T12:27:38.948Z
28,-1754483258951,Mike1029,VodeneedBet,3,0,12.5000000125,8.24967,false,2025-08-06T12:27:38.941Z
27,-1754483258938,GIOJIxBLACK,Исо,4,0,25,8.333,false,2025-08-06T12:27:38.931Z
26,-1754483258915,dimitrykov,Дмитрий,3,0,25,8.333,false,2025-08-06T12:27:38.908Z
25,-1754483258905,Antony_brown,Антон Браун,3,0,-2.776682790725689,8.1671733,false,2025-08-06T12:27:38.899Z
24,-1754483258883,tutarpad,Денис Тутарапад,4,0,12.5000000125,8.24967,false,2025-08-06T12:27:38.878Z
23,-1754483258871,maxispicy,Максиспайси,3,0,22.22331718427431,8.1671733,false,2025-08-06T12:27:38.867Z
22,-1754483258853,robby_van_kenobi,Роберт,3,0,40.27668280322569,8.24967,false,2025-08-06T12:27:38.850Z
21,298040171,verbin_dima,Dmitriy,3,0,52.77668279072569,8.1671733,false,2025-08-06T12:27:38.832Z
20,-1754483258823,Loktev95,Саня Локтев,3,0,9.723317196774312,8.24967,false,2025-08-06T12:27:38.821Z
19,-1754483258810,a_saksonov_74,Утиное ебало,3,0,22.22331718427431,8.1671733,false,2025-08-06T12:27:38.810Z
18,-1754483258737,Belskiy98,Саша Бельский,4,0,9.723317196774312,8.24967,false,2025-08-06T12:27:38.740Z
17,-1754483258691,RaceR_833,Sad Racer,3,0,22.22331718427431,8.1671733,false,2025-08-06T12:27:38.694Z
